,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
0,511639,370585,connect,ended,-15.0,563782.0,570.0,connect,136.0,Late
1,519491,312389,mobile,ended,58.0,545639.0,420.0,mobile,140.0,Late
2,521156,392479,mobile,ended,,537298.0,0.0,mobile,,On time
3,525044,349751,mobile,ended,,510607.0,60.0,mobile,-113.0,On time
4,528808,181625,connect,ended,-76.0,557404.0,330.0,connect,-352.0,On time
5,533670,320824,connect,ended,-6.0,556563.0,630.0,connect,23.0,Late
6,534827,404169,mobile,ended,-7.0,531158.0,90.0,mobile,29.0,Late
7,535611,397814,mobile,ended,68.0,535512.0,300.0,mobile,44.0,Late
8,535770,352436,mobile,ended,74.0,524703.0,60.0,mobile,7.0,Late
9,537576,397470,mobile,ended,18.0,539005.0,0.0,mobile,-29.0,On time
10,540217,398802,mobile,ended,-988.0,543426.0,720.0,mobile,51.0,Late
11,540479,374684,mobile,ended,12.0,539751.0,0.0,mobile,3.0,Late
12,541862,382364,mobile,ended,125.0,540607.0,0.0,mobile,1.0,Late
13,542300,307595,mobile,ended,,539897.0,30.0,mobile,,On time
14,542374,409676,mobile,ended,50.0,540444.0,180.0,mobile,131.0,Late
15,543328,358772,connect,ended,-9.0,552619.0,240.0,connect,-38.0,On time
16,543679,225795,connect,ended,64.0,540663.0,540.0,connect,60.0,Late
17,543768,374169,connect,canceled,,543010.0,210.0,connect,42.0,Late
18,543808,369230,mobile,ended,75.0,536315.0,60.0,mobile,-191.0,On time
19,546160,352528,connect,canceled,,546578.0,630.0,connect,-536.0,On time
20,546477,383309,mobile,ended,16.0,548486.0,660.0,mobile,-3.0,On time
21,547188,231676,mobile,ended,266.0,535868.0,30.0,mobile,16.0,Late
22,548912,411521,mobile,ended,225.0,553683.0,60.0,mobile,42.0,Late
23,550248,382901,mobile,ended,-127.0,545782.0,60.0,mobile,-9.0,On time
24,550723,380886,mobile,ended,,545855.0,120.0,mobile,74.0,Late
25,551069,359880,connect,ended,-22.0,549192.0,180.0,connect,45.0,Late
26,552330,384657,connect,ended,23.0,554800.0,0.0,connect,-672.0,On time
